Period from,Period to,Agile Import price (p/kWh),Agile Export price (p/kWh),Price_moving_avg,Asset_load,New_asset_load,New_asset_load_rolling
2024-06-12 03:30:00,2024-06-12 04:00:00,14.51,7.28,17.085,1,1,0.91
2024-06-12 04:00:00,2024-06-12 04:30:00,15.75,7.83,17.1207,1,1,0.91
2024-06-12 04:30:00,2024-06-12 05:00:00,15.37,7.66,17.1799,1,1,0.9
2024-06-12 05:00:00,2024-06-12 05:30:00,20.12,9.79,17.276899999999998,1,0,0.9
2024-06-12 05:30:00,2024-06-12 06:00:00,20.54,9.97,17.3735,1,1,0.9
2024-06-12 06:00:00,2024-06-12 06:30:00,19.74,9.62,17.4344,1,1,0.9
2024-06-12 06:30:00,2024-06-12 07:00:00,18.48,9.05,17.4827,1,1,0.9
2024-06-12 07:00:00,2024-06-12 07:30:00,17.2,8.48,17.5182,1,1,0.9
2024-06-12 07:30:00,2024-06-12 08:00:00,19.74,9.62,17.598,1,1,0.9
2024-06-12 08:00:00,2024-06-12 08:30:00,17.85,8.77,17.6154,1,1,0.9
2024-06-12 08:30:00,2024-06-12 09:00:00,17.95,8.82,17.583199999999998,1,1,0.9
2024-06-12 09:00:00,2024-06-12 09:30:00,18.4,9.01,17.5656,1,1,0.9
2024-06-12 09:30:00,2024-06-12 10:00:00,18.12,8.89,17.5158,1,1,0.9
2024-06-12 10:00:00,2024-06-12 10:30:00,18.12,8.89,17.4752,1,0,0.9
2024-06-12 10:30:00,2024-06-12 11:00:00,18.04,8.85,17.4578,1,1,0.9
2024-06-12 11:00:00,2024-06-12 11:30:00,19.49,9.5,17.4677,1,1,0.9
2024-06-12 11:30:00,2024-06-12 12:00:00,18.98,9.28,17.4895,1,1,0.9
2024-06-12 12:00:00,2024-06-12 12:30:00,19.82,9.65,17.5333,1,1,0.9
2024-06-12 12:30:00,2024-06-12 13:00:00,19.32,9.43,17.570500000000003,1,1,0.9
2024-06-12 13:00:00,2024-06-12 13:30:00,19.8,9.64,17.6335,1,1,0.9
2024-06-12 13:30:00,2024-06-12 14:00:00,17.64,8.68,17.683899999999998,1,1,0.9
2024-06-12 14:00:00,2024-06-12 14:30:00,16.84,8.32,17.738300000000002,1,1,0.9
2024-06-12 14:30:00,2024-06-12 15:00:00,17.01,8.39,17.7996,1,1,0.9
2024-06-12 15:00:00,2024-06-12 15:30:00,16.14,8.0,17.8497,1,0,0.9
2024-06-12 15:30:00,2024-06-12 16:00:00,18.12,8.89,17.9196,1,1,0.9
2024-06-12 16:00:00,2024-06-12 16:30:00,31.33,14.49,18.1321,1,1,0.9
2024-06-12 16:30:00,2024-06-12 17:00:00,33.6,15.51,18.3631,1,1,0.9
2024-06-12 17:00:00,2024-06-12 17:30:00,31.84,14.72,18.5803,1,1,0.9
2024-06-12 17:30:00,2024-06-12 18:00:00,33.14,15.3,18.791999999999998,1,1,0.9
2024-06-12 18:00:00,2024-06-12 18:30:00,35.7,16.45,18.9075,1,1,0.9
2024-06-12 18:30:00,2024-06-12 19:00:00,35.7,16.45,18.991500000000002,1,1,0.9
2024-06-12 19:00:00,2024-06-12 19:30:00,25.2,12.06,18.9495,1,1,0.9
2024-06-12 19:30:00,2024-06-12 20:00:00,24.89,11.92,18.8977,1,1,0.9
2024-06-12 20:00:00,2024-06-12 20:30:00,24.15,11.59,18.8032,1,0,0.9
2024-06-12 20:30:00,2024-06-12 21:00:00,23.44,11.27,18.6953,1,1,0.9
2024-06-12 21:00:00,2024-06-12 21:30:00,23.14,11.14,18.7251,1,1,0.9
2024-06-12 21:30:00,2024-06-12 22:00:00,21.19,10.26,18.7379,1,1,0.9
2024-06-12 22:00:00,2024-06-12 22:30:00,19.3,9.42,18.7419,1,1,0.9
2024-06-12 22:30:00,2024-06-12 23:00:00,17.43,8.58,18.7314,1,1,0.9
2024-06-12 23:00:00,2024-06-12 23:30:00,17.85,8.77,18.7293,1,1,0.9
2024-06-12 23:30:00,2024-06-13 00:00:00,18.9,9.24,18.7503,1,1,0.9
2024-06-13 00:00:00,2024-06-13 00:30:00,16.7,8.25,18.761300000000002,1,1,0.9
2024-06-13 00:30:00,2024-06-13 01:00:00,16.09,7.98,18.7975,1,1,0.9
2024-06-13 01:00:00,2024-06-13 01:30:00,16.04,7.96,18.817999999999998,1,0,0.9
2024-06-13 01:30:00,2024-06-13 02:00:00,15.96,7.92,18.8621,1,1,0.9
2024-06-13 02:00:00,2024-06-13 02:30:00,15.75,7.83,18.8942,1,1,0.9
2024-06-13 02:30:00,2024-06-13 03:00:00,15.2,7.59,18.928600000000003,1,1,0.9
2024-06-13 03:00:00,2024-06-13 03:30:00,15.31,7.63,18.9668,1,1,0.9
2024-06-13 03:30:00,2024-06-13 04:00:00,14.28,7.17,18.996199999999998,1,1,0.9
2024-06-13 04:00:00,2024-06-13 04:30:00,16.07,7.97,19.055,1,1,0.9
2024-06-13 04:30:00,2024-06-13 05:00:00,15.54,7.74,19.1096,1,1,0.9
2024-06-13 05:00:00,2024-06-13 05:30:00,14.76,7.39,19.148400000000002,1,1,0.9
2024-06-13 05:30:00,2024-06-13 06:00:00,15.6,7.76,19.2067,1,1,0.9
2024-06-13 06:00:00,2024-06-13 06:30:00,18.9,9.24,19.2865,1,0,0.9
2024-06-13 06:30:00,2024-06-13 07:00:00,20.5,9.95,19.390700000000002,1,1,0.9
2024-06-13 07:00:00,2024-06-13 07:30:00,18.73,9.16,19.456200000000003,1,1,0.9
2024-06-13 07:30:00,2024-06-13 08:00:00,20.58,9.99,19.5261,1,1,0.9
2024-06-13 08:00:00,2024-06-13 08:30:00,19.47,9.49,19.5843,1,1,0.9
2024-06-13 08:30:00,2024-06-13 09:00:00,18.94,9.26,19.6107,1,1,0.9
2024-06-13 09:00:00,2024-06-13 09:30:00,19.36,9.45,19.6573,1,1,0.9
2024-06-13 09:30:00,2024-06-13 10:00:00,18.9,9.24,19.6728,1,1,0.9
2024-06-13 10:00:00,2024-06-13 10:30:00,17.64,8.68,19.6846,1,1,0.9
2024-06-13 10:30:00,2024-06-13 11:00:00,17.01,8.39,19.695,1,1,0.9
2024-06-13 11:00:00,2024-06-13 11:30:00,17.68,8.69,19.7132,1,0,0.9
2024-06-13 11:30:00,2024-06-13 12:00:00,17.79,8.74,19.7378,1,1,0.9
2024-06-13 12:00:00,2024-06-13 12:30:00,16.38,8.11,19.7466,1,1,0.9
2024-06-13 12:30:00,2024-06-13 13:00:00,16.34,8.09,19.756700000000002,1,1,0.9
2024-06-13 13:00:00,2024-06-13 13:30:00,15.5,7.72,19.75,1,1,0.9
2024-06-13 13:30:00,2024-06-13 14:00:00,14.74,7.38,19.7336,1,1,0.9
2024-06-13 14:00:00,2024-06-13 14:30:00,13.78,6.95,19.6925,1,1,0.9
2024-06-13 14:30:00,2024-06-13 15:00:00,13.61,6.87,19.648000000000003,1,1,0.9
2024-06-13 15:00:00,2024-06-13 15:30:00,13.27,6.72,19.6018,1,1,0.9
2024-06-13 15:30:00,2024-06-13 16:00:00,14.07,7.08,19.5703,1,1,0.9
2024-06-13 16:00:00,2024-06-13 16:30:00,28.14,13.07,19.687900000000003,1,0,0.9
2024-06-13 16:30:00,2024-06-13 17:00:00,29.3,13.58,19.8319,1,1,0.9
2024-06-13 17:00:00,2024-06-13 17:30:00,33.39,15.42,20.020899999999997,1,1,0.9
2024-06-13 17:30:00,2024-06-13 18:00:00,33.39,15.42,20.201900000000002,1,1,0.9
2024-06-13 18:00:00,2024-06-13 18:30:00,35.72,16.46,20.253800000000002,1,1,0.9
2024-06-13 18:30:00,2024-06-13 19:00:00,34.92,16.1,20.2865,1,1,0.9
2024-06-13 19:00:00,2024-06-13 19:30:00,20.18,9.81,20.173299999999998,1,1,0.9
2024-06-13 19:30:00,2024-06-13 20:00:00,18.9,9.24,20.0353,1,1,0.9
2024-06-13 20:00:00,2024-06-13 20:30:00,20.33,9.88,19.904700000000002,1,1,0.9
2024-06-13 20:30:00,2024-06-13 21:00:00,17.66,8.69,19.7453,1,1,0.9
2024-06-13 21:00:00,2024-06-13 21:30:00,17.24,8.5,19.7006,1,0,0.9
2024-06-13 21:30:00,2024-06-13 22:00:00,15.81,7.86,19.646,1,1,0.9
2024-06-13 22:00:00,2024-06-13 22:30:00,14.47,7.26,19.570800000000002,1,1,0.9
2024-06-13 22:30:00,2024-06-13 23:00:00,9.28,4.93,19.4465,1,1,0.9
2024-06-13 23:00:00,2024-06-13 23:30:00,11.76,6.04,19.343600000000002,1,1,0.9
2024-06-13 23:30:00,2024-06-14 00:00:00,8.55,4.61,19.2334,1,1,0.9
2024-06-14 00:00:00,2024-06-14 00:30:00,8.19,4.45,19.121000000000002,1,1,0.9
2024-06-14 00:30:00,2024-06-14 01:00:00,8.19,4.45,19.0454,1,1,0.9
2024-06-14 01:00:00,2024-06-14 01:30:00,6.72,3.79,18.9446,1,11,1.0
2024-06-14 01:30:00,2024-06-14 02:00:00,7.83,4.29,18.8518,1,1,1.0
2024-06-14 02:00:00,2024-06-14 02:30:00,7.77,4.26,18.773500000000002,1,0,1.0
2024-06-14 02:30:00,2024-06-14 03:00:00,7.18,3.99,18.696,1,1,1.0
2024-06-14 03:00:00,2024-06-14 03:30:00,7.5,4.14,18.6213,1,1,1.0
2024-06-14 03:30:00,2024-06-14 04:00:00,7.67,4.21,18.5485,1,1,1.0
2024-06-14 04:00:00,2024-06-14 04:30:00,8.22,4.46,18.4816,1,1,1.0
2024-06-14 04:30:00,2024-06-14 05:00:00,8.29,4.49,18.416,1,1,1.0
2024-06-14 05:00:00,2024-06-14 05:30:00,9.24,4.92,18.3622,1,1,1.0
2024-06-14 05:30:00,2024-06-14 06:00:00,10.85,5.64,18.3256,1,1,1.0
2024-06-14 06:00:00,2024-06-14 06:30:00,10.78,5.61,18.2759,1,1,1.0
2024-06-14 06:30:00,2024-06-14 07:00:00,18.69,9.15,18.3091,1,1,1.0
2024-06-14 07:00:00,2024-06-14 07:30:00,18.27,8.96,18.2906,1,0,1.0
2024-06-14 07:30:00,2024-06-14 08:00:00,19.95,9.71,18.284699999999997,1,1,1.0
2024-06-14 08:00:00,2024-06-14 08:30:00,18.27,8.96,18.27,1,1,1.0
2024-06-14 08:30:00,2024-06-14 09:00:00,18.82,9.2,18.273400000000002,1,1,1.0
2024-06-14 09:00:00,2024-06-14 09:30:00,19.32,9.43,18.2946,1,1,1.0
2024-06-14 09:30:00,2024-06-14 10:00:00,18.82,9.2,18.2854,1,1,1.0
2024-06-14 10:00:00,2024-06-14 10:30:00,19.28,9.41,18.2997,1,1,1.0
2024-06-14 10:30:00,2024-06-14 11:00:00,18.9,9.24,18.3092,1,1,1.0
2024-06-14 11:00:00,2024-06-14 11:30:00,18.9,9.24,18.3142,1,1,1.0
2024-06-14 11:30:00,2024-06-14 12:00:00,18.9,9.24,18.322,1,1,1.0
2024-06-14 12:00:00,2024-06-14 12:30:00,18.48,9.05,18.325599999999998,1,0,1.0
2024-06-14 12:30:00,2024-06-14 13:00:00,17.51,8.62,18.3203,1,1,1.0
2024-06-14 13:00:00,2024-06-14 13:30:00,17.01,8.39,18.2955,1,1,1.0
2024-06-14 13:30:00,2024-06-14 14:00:00,15.81,7.86,18.2638,1,1,1.0
2024-06-14 14:00:00,2024-06-14 14:30:00,13.65,6.89,18.2021,1,1,1.0
2024-06-14 14:30:00,2024-06-14 15:00:00,13.96,7.03,18.1485,1,1,1.0
2024-06-14 15:00:00,2024-06-14 15:30:00,12.39,6.33,18.0744,1,1,1.0
2024-06-14 15:30:00,2024-06-14 16:00:00,13.44,6.8,18.0324,1,1,1.0
2024-06-14 16:00:00,2024-06-14 16:30:00,27.22,12.65,18.1362,1,1,1.0
2024-06-14 16:30:00,2024-06-14 17:00:00,29.61,13.72,18.2622,1,1,1.0
2024-06-14 17:00:00,2024-06-14 17:30:00,29.82,13.82,18.399,1,0,1.0
2024-06-14 17:30:00,2024-06-14 18:00:00,31.92,14.76,18.537,1,1,1.0
2024-06-14 18:00:00,2024-06-14 18:30:00,33.6,15.51,18.5597,1,1,1.0
2024-06-14 18:30:00,2024-06-14 19:00:00,33.6,15.51,18.5597,1,1,1.0
2024-06-14 19:00:00,2024-06-14 19:30:00,22.3,10.76,18.4643,1,1,1.0
2024-06-14 19:30:00,2024-06-14 20:00:00,22.05,10.65,18.3534,1,1,1.0
2024-06-14 20:00:00,2024-06-14 20:30:00,21.08,10.22,18.2072,1,1,1.0
2024-06-14 20:30:00,2024-06-14 21:00:00,21.0,10.18,18.0602,1,1,1.0
2024-06-14 21:00:00,2024-06-14 21:30:00,19.95,9.71,18.0077,1,1,1.0
2024-06-14 21:30:00,2024-06-14 22:00:00,18.9,9.24,17.9478,1,1,1.0
2024-06-14 22:00:00,2024-06-14 22:30:00,18.05,8.86,17.8868,1,0,1.0
2024-06-14 22:30:00,2024-06-14 23:00:00,16.8,8.3,17.8204,1,1,1.0
2024-06-14 23:00:00,2024-06-14 23:30:00,21.95,10.6,17.808500000000002,1,1,1.0
2024-06-14 23:30:00,2024-06-15 00:00:00,20.5,9.95,17.8016,1,1,1.0
2024-06-15 00:00:00,2024-06-15 00:30:00,18.86,9.22,17.7972,1,1,1.0
2024-06-15 00:30:00,2024-06-15 01:00:00,17.18,8.47,17.7947,1,1,1.0
2024-06-15 01:00:00,2024-06-15 01:30:00,15.58,7.75,17.772000000000002,1,1,1.0
2024-06-15 01:30:00,2024-06-15 02:00:00,15.9,7.9,17.742,1,1,1.0
2024-06-15 02:00:00,2024-06-15 02:30:00,14.99,7.49,17.7249,1,1,1.0
2024-06-15 02:30:00,2024-06-15 03:00:00,13.88,6.99,17.7028,1,1,1.0
2024-06-15 03:00:00,2024-06-15 03:30:00,13.44,6.8,17.6768,1,0,1.0
2024-06-15 03:30:00,2024-06-15 04:00:00,12.83,6.52,17.6455,1,1,1.0
2024-06-15 04:00:00,2024-06-15 04:30:00,13.96,7.03,17.6276,1,1,1.0
2024-06-15 04:30:00,2024-06-15 05:00:00,13.44,6.8,17.61,1,1,1.0
2024-06-15 05:00:00,2024-06-15 05:30:00,13.44,6.8,17.5913,1,1,1.0
2024-06-15 05:30:00,2024-06-15 06:00:00,13.1,6.65,17.5795,1,1,1.0
2024-06-15 06:00:00,2024-06-15 06:30:00,14.07,7.08,17.5595,1,1,1.0
2024-06-15 06:30:00,2024-06-15 07:00:00,16.23,8.05,17.566399999999998,1,1,1.0
2024-06-15 07:00:00,2024-06-15 07:30:00,16.17,8.02,17.5805,1,1,1.0
2024-06-15 07:30:00,2024-06-15 08:00:00,17.22,8.49,17.596700000000002,1,1,1.0
2024-06-15 08:00:00,2024-06-15 08:30:00,18.87,9.23,17.5964,1,0,1.0
2024-06-15 08:30:00,2024-06-15 09:00:00,19.32,9.43,17.584600000000002,1,1,1.0
2024-06-15 09:00:00,2024-06-15 09:30:00,19.95,9.71,17.596799999999998,1,1,1.0
2024-06-15 09:30:00,2024-06-15 10:00:00,19.99,9.73,17.590899999999998,1,1,1.0
2024-06-15 10:00:00,2024-06-15 10:30:00,19.82,9.65,17.5944,1,1,1.0
2024-06-15 10:30:00,2024-06-15 11:00:00,19.47,9.49,17.5997,1,1,1.0
2024-06-15 11:00:00,2024-06-15 11:30:00,16.8,8.3,17.5741,1,1,1.0
2024-06-15 11:30:00,2024-06-15 12:00:00,16.38,8.11,17.5489,1,1,1.0
2024-06-15 12:00:00,2024-06-15 12:30:00,15.75,7.83,17.53,1,1,1.0
2024-06-15 12:30:00,2024-06-15 13:00:00,14.83,7.42,17.508200000000002,1,1,1.0
2024-06-15 13:00:00,2024-06-15 13:30:00,13.65,6.89,17.4679,1,0,1.0
2024-06-15 13:30:00,2024-06-15 14:00:00,12.66,6.45,17.416600000000003,1,1,1.0
2024-06-15 14:00:00,2024-06-15 14:30:00,12.18,6.23,17.3746,1,1,1.0
2024-06-15 14:30:00,2024-06-15 15:00:00,11.97,6.14,17.3309,1,1,1.0
2024-06-15 15:00:00,2024-06-15 15:30:00,12.6,6.42,17.3019,1,1,1.0
2024-06-15 15:30:00,2024-06-15 16:00:00,12.66,6.45,17.2811,1,1,1.0
2024-06-15 16:00:00,2024-06-15 16:30:00,28.56,13.25,17.428900000000002,1,1,1.0
2024-06-15 16:30:00,2024-06-15 17:00:00,30.93,14.32,17.602099999999997,1,1,1.0
2024-06-15 17:00:00,2024-06-15 17:30:00,32.59,15.06,17.7953,1,1,1.0
2024-06-15 17:30:00,2024-06-15 18:00:00,34.44,15.89,17.999000000000002,1,1,1.0
2024-06-15 18:00:00,2024-06-15 18:30:00,34.06,15.72,18.0582,1,0,1.0
2024-06-15 18:30:00,2024-06-15 19:00:00,34.17,15.76,18.1069,1,1,1.0
2024-06-15 19:00:00,2024-06-15 19:30:00,20.33,9.88,17.976300000000002,1,1,1.0
2024-06-15 19:30:00,2024-06-15 20:00:00,20.37,9.9,17.8461,1,1,1.0
2024-06-15 20:00:00,2024-06-15 20:30:00,19.24,9.39,17.6813,1,1,1.0
2024-06-15 20:30:00,2024-06-15 21:00:00,18.94,9.26,17.5215,1,1,1.0
2024-06-15 21:00:00,2024-06-15 21:30:00,21.0,10.18,17.529700000000002,1,1,1.0
2024-06-15 21:30:00,2024-06-15 22:00:00,18.9,9.24,17.529700000000002,1,1,1.0
2024-06-15 22:00:00,2024-06-15 22:30:00,17.39,8.56,17.5003,1,1,1.0
2024-06-15 22:30:00,2024-06-15 23:00:00,14.18,7.12,17.4655,1,1,1.0
2024-06-15 23:00:00,2024-06-15 23:30:00,17.75,8.72,17.4706,1,0,1.0
2024-06-15 23:30:00,2024-06-16 00:00:00,17.22,8.49,17.4847,1,1,1.0
2024-06-16 00:00:00,2024-06-16 00:30:00,14.28,7.17,17.4828,1,1,1.0
2024-06-16 00:30:00,2024-06-16 01:00:00,10.75,5.59,17.4975,1,1,1.0
2024-06-16 01:00:00,2024-06-16 01:30:00,9.03,4.82,17.4702,1,1,1.0
2024-06-16 01:30:00,2024-06-16 02:00:00,11.84,6.08,17.5031,1,1,1.0
2024-06-16 02:00:00,2024-06-16 02:30:00,10.08,5.29,17.522000000000002,1,1,1.0
2024-06-16 02:30:00,2024-06-16 03:00:00,6.3,3.6,17.5031,1,1,1.0
2024-06-16 03:00:00,2024-06-16 03:30:00,4.47,2.78,17.4806,1,1,0.9
2024-06-16 03:30:00,2024-06-16 04:00:00,4.07,2.6,17.442999999999998,1,2,0.91
2024-06-16 04:00:00,2024-06-16 04:30:00,4.2,2.66,17.4073,1,0,0.91
2024-06-16 04:30:00,2024-06-16 05:00:00,2.1,1.72,17.356499999999997,1,1,0.91
2024-06-16 05:00:00,2024-06-16 05:30:00,1.68,1.53,17.298299999999998,1,1,0.91
2024-06-16 05:30:00,2024-06-16 06:00:00,1.47,1.44,17.2363,1,21,1.11
2024-06-16 06:00:00,2024-06-16 06:30:00,1.87,1.62,17.1728,1,1,1.11
2024-06-16 06:30:00,2024-06-16 07:00:00,2.46,1.88,17.1145,1,1,1.11
2024-06-16 07:00:00,2024-06-16 07:30:00,5.04,3.04,17.0725,1,1,1.11
2024-06-16 07:30:00,2024-06-16 08:00:00,9.39,4.98,17.0579,1,1,1.11
2024-06-16 08:00:00,2024-06-16 08:30:00,9.45,5.01,17.0446,1,1,1.11
2024-06-16 08:30:00,2024-06-16 09:00:00,10.92,5.67,16.9669,1,1,1.11
2024-06-16 09:00:00,2024-06-16 09:30:00,11.13,5.76,16.8955,1,0,1.11
2024-06-16 09:30:00,2024-06-16 10:00:00,12.39,6.33,16.8199,1,1,1.11
2024-06-16 10:00:00,2024-06-16 10:30:00,13.86,6.98,16.7758,1,1,1.11
2024-06-16 10:30:00,2024-06-16 11:00:00,13.84,6.97,16.726,1,1,1.11
2024-06-16 11:00:00,2024-06-16 11:30:00,14.51,7.28,16.6779,1,1,1.11
2024-06-16 11:30:00,2024-06-16 12:00:00,14.38,7.22,16.6335,1,1,1.11
2024-06-16 12:00:00,2024-06-16 12:30:00,15.54,7.74,16.5961,1,1,1.11
2024-06-16 12:30:00,2024-06-16 13:00:00,14.15,7.12,16.5486,1,1,1.11
2024-06-16 13:00:00,2024-06-16 13:30:00,13.02,6.61,16.4898,1,1,1.11
2024-06-16 13:30:00,2024-06-16 14:00:00,11.55,5.95,16.4163,1,1,1.11
2024-06-16 14:00:00,2024-06-16 14:30:00,10.71,5.57,16.3386,1,2,1.13
2024-06-16 14:30:00,2024-06-16 15:00:00,11.55,5.95,16.279,1,1,1.13
2024-06-16 15:00:00,2024-06-16 15:30:00,11.55,5.95,16.2244,1,1,1.13
2024-06-16 15:30:00,2024-06-16 16:00:00,13.84,6.97,16.2047,1,1,1.13
2024-06-16 16:00:00,2024-06-16 16:30:00,28.58,13.26,16.354,1,1,1.13
2024-06-16 16:30:00,2024-06-16 17:00:00,30.49,14.12,16.5193,1,1,1.13
2024-06-16 17:00:00,2024-06-16 17:30:00,31.23,14.45,16.7077,1,1,1.13
2024-06-16 17:30:00,2024-06-16 18:00:00,32.66,15.09,16.8999,1,1,1.13
2024-06-16 18:00:00,2024-06-16 18:30:00,32.3,14.93,16.950699999999998,1,1,1.13
2024-06-16 18:30:00,2024-06-16 19:00:00,32.13,14.85,16.9759,1,1,1.13
2024-06-16 19:00:00,2024-06-16 19:30:00,20.31,9.87,16.8808,1,0,1.13
2024-06-16 19:30:00,2024-06-16 20:00:00,20.75,10.07,16.769099999999998,1,1,1.13
2024-06-16 20:00:00,2024-06-16 20:30:00,22.5,10.85,16.6581,1,1,1.13
2024-06-16 20:30:00,2024-06-16 21:00:00,20.79,10.09,16.53,1,1,1.13
2024-06-16 21:00:00,2024-06-16 21:30:00,21.21,10.27,16.519099999999998,1,1,1.13
2024-06-16 21:30:00,2024-06-16 22:00:00,20.37,9.9,16.5023,1,1,1.13
2024-06-16 22:00:00,2024-06-16 22:30:00,17.95,8.82,16.471,1,1,1.13
2024-06-16 22:30:00,2024-06-16 23:00:00,16.27,8.06,16.4237,1,1,1.13
2024-06-16 23:00:00,2024-06-16 23:30:00,16.72,8.26,16.391399999999997,1,1,1.13
2024-06-16 23:30:00,2024-06-17 00:00:00,16.8,8.3,16.3704,1,1,1.13
2024-06-17 00:00:00,2024-06-17 00:30:00,15.2,7.59,16.3419,1,0,1.13
2024-06-17 00:30:00,2024-06-17 01:00:00,14.53,7.28,16.319200000000002,1,1,1.13
2024-06-17 01:00:00,2024-06-17 01:30:00,14.24,7.15,16.2421,1,1,1.13
2024-06-17 01:30:00,2024-06-17 02:00:00,14.28,7.17,16.1799,1,1,1.13
2024-06-17 02:00:00,2024-06-17 02:30:00,15.12,7.55,16.1425,1,1,1.13
2024-06-17 02:30:00,2024-06-17 03:00:00,14.57,7.3,16.1164,1,1,1.13
